parallax,l,b
-1.730639278913901,288.0376510462832,-2.9527769162935145
-0.2481728212191922,288.0117074445491,-2.9466599984211275
-0.1505890569861218,351.69156257586303,-5.553978076668119
-0.2782179972404097,287.50100290826515,-3.398986335001129
-0.0507548212678823,287.50004135160765,-3.562252814893736
-0.5581570943973219,287.5239941206512,-2.792576856909137
-0.114030502016962,288.37544163694577,-2.6445270875815163
-0.1635295493388002,355.6524034604576,7.692469051022234
-1.669691720567724,354.54888036036346,8.234611158526935
-0.604276728666419,355.7751017227652,7.62124735573069
-0.0220155761911412,354.4736397676837,8.393163648550452
-0.0048432910902805,255.37386577974635,1.62416092404154
-0.0036794807453063,255.11988799563477,0.8105610280804795
-0.2830765383325883,37.9243007703532,-5.570744722991529
-0.1478157253282785,355.788258554381,7.581314843656275
-1.2289339404774713,254.78400826874227,0.0880371334096938
-0.0264870219404666,355.92897849636574,7.474442245951978
-0.4316160976761267,354.57546906933743,7.955364806126459
-0.1093368873335632,31.94931806364225,-1.9419883718691973
-0.0268100294911438,254.6954202343969,2.395138851547289
-0.001702109989276,256.658969504078,1.6109312908914095
-1.016651761047348,254.5322250514931,1.3234708074426609
-0.0715906929539773,354.2519238646948,7.8479116128635535
-4.196469796549519,354.3530679598813,8.221699762697916
-0.0635831861665321,354.7341611049567,8.41225266423707
-1.1909483435604842,37.92184740426503,-4.90618802256048
-3.2259105515789424,325.68289926822484,-12.245294517561009
-0.17745398652934,37.96424323104017,-4.920117511078458
-0.1824989392738516,32.081508095386795,-1.8325069841342991
-0.0075666863631168,327.78451804232253,-12.571489633194147
-0.0502438035974179,354.4795630300724,8.15695963117253
-0.1442168746114614,354.60792026979146,8.04671292150657
-0.0069746344294388,326.18651899894985,-11.117411924792496
5.1017843083544765,355.0925167944046,7.906292682545826
-0.6363628783851083,325.86614602662644,-11.320803848045475
-0.0171222885977627,37.47229641245314,-4.733882796232717
-0.1806564659759955,326.2431207856043,-12.896843259368351
-0.2007468805540619,325.9750103095266,-10.914951391992716
-0.1663272081668876,320.7412693356873,7.150292957915391
-0.0325686223249461,321.1668996494972,7.744533219732886
-0.1221076138690166,321.39430120490425,6.956573260796313
-0.7561882002398713,321.7193963964902,8.170346211144908
-0.0195433906880392,326.27844812000035,-11.312580119754337
-0.4358415086127685,322.2613807620912,8.131636661746695
-0.5473578518469882,325.4993340414966,-11.752090070162565
-0.3810772152280035,1.748798841705818,13.582347714091336
-0.0664325199384503,288.75431590203027,-5.3056731074041386
-0.2856475551401286,326.2518565706243,-12.432809355180115
-0.0187586209247563,320.9643122857658,7.386015496322971
-0.0459677310354726,322.31778157961094,7.795706846902337
-0.026006239352697,321.5979071203433,7.769831670702854
-0.0433784251711007,2.370095789883304,13.376775495356943
-0.043425227130629,351.7490602100179,7.56160527235472
-0.0248315064233437,3.48912964385898,12.606008902235176
-0.0845165125617839,352.10053680752355,7.545999769488087
-1.601744126666952,350.6107842964033,8.5358742685135
-0.0305785777176329,352.2080506908338,7.598016006168902
-0.0353840324837716,4.355300770104301,12.139114018072588
3.988393478253385,0.8888429392495829,13.803360398620054
-0.3022417135048741,288.5280816896717,-4.668255240577632
-0.2088323277602263,352.24922873994564,7.656757347366646
-0.1905407597795569,287.946748585222,-6.155135697547959
-0.2189259497545239,288.6916258177404,-5.639029550792423
-0.050019541729937,288.4096139197132,-4.60209818724877
-0.0229050180121838,351.6012614360365,7.793074138170365
-0.368475638722598,351.90606886568014,7.86876347224268
-2.3548265627586185,350.6204764102342,8.751629750801667
-0.2779852630794554,287.822164330191,-6.163412015987015
-0.192047628293585,326.5432936802037,-3.2801476184733325
-0.3227900121204148,351.87219314612327,7.898397391675006
-0.0790847484247943,326.7565793662823,-3.4620399345133284
-0.0307595424872041,326.58184718377333,-3.072595725911038
-0.1973641294968017,326.68321061900195,-3.340949607330828
-0.009533309843826,351.4352649457086,8.632540233731763
-0.029214270148988,326.606418449754,-3.051707208285619
-0.0703516997853524,326.02444646070205,-3.571955750745908
-0.1186886955562847,326.7488491741256,-3.2560637049010888
-0.1350507720217408,326.6731170555792,-3.012697964743861
-0.1863226877464595,326.71352822623857,-3.1911309041544857
-0.4379941541687122,326.6470523441994,-3.639962909377308
-1.173957713124032,352.21569184001027,7.872952886989463
-0.0267294806246848,291.50097829315706,-5.831600733486519
-0.005876149118364,326.05636559782755,-3.403708136037994
-0.0485767393748399,326.6912401383831,-3.055541163869109
5.065917633714631,66.32713004123666,-4.039311784262136
-0.8393649676746313,351.5088936618592,8.757562134540626
-1.0267278123267078,292.2410779251841,-5.77814649708154
-0.239080108406109,326.50181360288263,-2.9894268621575355
-0.1073046198043301,326.2086341458385,-3.3945133066652464
-0.0049415271078746,326.37859343394666,-3.4492273363305186
-0.003227016748517,326.2014483357329,-3.0199903631168503
-0.0230085435325345,292.00244670075443,-5.002899074156871
6.591481702114868,67.43346914791923,-3.190342380845228
-0.0898686738754754,302.0038709683318,-1.6658001700631622
-0.023213759184262,11.649036908422069,8.435936678998036
-0.1026294035555024,305.53930007436685,0.5954944090089058
-0.0058883085993737,305.7232517719013,0.6865139046298491
-0.208307024444415,292.5118415217336,-5.17479275562548
-2.079854916911426,292.458723485149,-5.246468578801253
-0.013859344343858,12.656077976115707,7.434394948963547
-4.12125688232006,32.435251106834386,11.381718335805292
-0.003867595346069,292.9067992664812,-5.793310279321346
-0.0526108520294232,292.77950060939605,-5.8161635341004665
-0.095765666198629,305.225774245815,-0.2617680927020228
-0.0248126417411615,292.9634557214277,-5.6585575433568325
-1.2582827336547484,296.4095218507986,-1.8828047387221172
-0.1151811648764402,11.71801837364702,8.428961115755667
-0.1354610713413797,297.28981699061774,-2.260684679236468
-0.2889241504200126,11.45599357678664,8.60353342206496
-0.0637493221084927,12.270958137720354,8.848866321690005
-3.5531398449751515,32.706068546908824,11.848847080779125
-0.4706818924393383,305.4039407064048,-0.6050243538980656
-1.1642683384566914,296.92156447052065,-1.6389088234114533
-0.0132750812707521,296.8265675024493,-1.5551786998447592
-0.0327729354417831,305.1478596294368,-0.6787891723772524
-1.0691978308914276,31.804153446804463,12.198284215603522
-0.2791608587087339,297.1527181214724,-2.05602935843768
-0.0766101479276699,296.7224787994619,-1.0850967939638732
-0.0856960936800298,33.00126476754166,11.9431551998797
